Department,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Description,Supplier Post Code,Supplier Type,Contract Number,Project Code,Expenditure Type
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49240,12284.33,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49240,12284.33,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Other Goods/Services,Economics & Markets - International Trade & Export Control,ENTERPRISE RENT-A-CAR (UK) LTD,49241,170.35,BLG Devolved Admin-Other Goods/Services,TW20 8RX,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49242,306.11,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49244,303.53,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49246,6366.71,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49248,8854.05,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49249,553.32,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Hire of Agency Staff,People & Strategy - Human Resources,BROOK STREET (UK) LTD,49250,533.52,E&M Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Leasing of Reprographic Equipment,Finance & Commercial Group - Information and Technology Directorate,XEROX (UK) LTD,49251,372.72,F&C Devolved Admin-Leasing of Reprographic Equipment,BN13 1QG,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Electricity,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,49252,173.03,E&M Devolved Admin-Electricity,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Electricity,Finance & Commercial Group - Estates,STOCKTON BOROUGH COUNCIL,49252,1038.18,F&C Devolved Admin-Electricity,TS19 1JA,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,WOLFERSTANS SOLICITORS,49263,3844.38,AMD: Vosper Gap- British Shipbuilders-Utilisation of Provisions - Purchase of Goods & Services - Other,PL4 8EP,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Innovation Directorate,BRITISH STANDARDS INSTITUTION (BSI),49265,8697.04,Standards: BSI: Support For Participation In Standardisation - CTEF-Current Grants To Private Sector - NPISH,W4 4AL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Current Grants To Private Sector - NPISH,Knowledge & Innovation Group - Innovation Directorate,BRITISH STANDARDS INSTITUTION (BSI),49266,120901.66,Standards: BSI: Support For Participation In Standardisation AITS-Current Grants To Private Sector - NPISH,W4 4AL,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",10/07/2014,Air Travel,Knowledge & Innovation Group - International Knowledge and Innovation,UNIVERSITY COLLEGE LONDON,49271,891.15,Science and Innovation Network (GPF and Conference)-Air Travel,WC1H 9QU,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,49280,34.81,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hire of Agency Staff,Shareholder Executive - British Business Bank,BROOK STREET (UK) LTD,49280,169.50,ShEx Devolved Admin-Hire of Agency Staff,AL1 4JB,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,KING & WOOD MALLESONS LLP,49283,9185.44,ECF: Catalyst Fund-Legal Services and Advice Agency,EC4R 1BE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,KING & WOOD MALLESONS LLP,49285,1315.58,ECF: Capital For Enterprise Fund-Legal Services and Advice Agency,EC4R 1BE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Legal Services and Advice Agency,Shareholder Executive - British Business Bank,KING & WOOD MALLESONS LLP,49289,934.50,ECF: Capital For Enterprise Fund-Legal Services and Advice Agency,EC4R 1BE,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",04/07/2014,Utilisation of Provisions - Purchase of Goods & Services - Other,Business & Local Growth - Advanced Manufacturing Services,SIMPSON & MARWICK SOLICITORS,49293,237783.35,AMD: British Shipbuilders Provision-Utilisation of Provisions - Purchase of Goods & Services - Other,EH1 3QR,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Business Rates,Finance & Commercial Group - Estates,COMPANIES HOUSE,49294,9836.95,F&C Devolved Admin-Business Rates,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,COMPANIES HOUSE,49294,26811.22,F&C Devolved Admin-Rentals Under Non-PFI Operating Leases - Buildings,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",08/07/2014,Service Charges,Finance & Commercial Group - Estates,COMPANIES HOUSE,49294,20305.95,F&C Devolved Admin-Service Charges,CF14 3UZ,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",30/07/2014,Business Rates,Finance & Commercial Group - Estates,CITY OF LONDON,49304,1259940.00,F&C Devolved Admin-Business Rates,EC2P 2EJ,VENDOR,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Postage,Finance & Commercial Group - Information and Technology Directorate,ROYAL MAIL GROUP LTD T/A ROYAL MAIL,49310,4037.23,F&C Devolved Admin-Postage,S49 1HQ,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Legal Costs,Economics & Markets - Labour Market,HM REVENUE & CUSTOMS,49316,65360.00,National Minimum Wage: Outsourced-Legal Costs,BN12 4XH,WGA ONLY,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Rentals Under Non-PFI Operating Leases - Buildings,Finance & Commercial Group - Estates,FIELD FISHER WATERHOUSE,49317,280.00,LSC Properties-Rentals Under Non-PFI Operating Leases - Buildings,EC3N 2AA,GRANT,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hotel & Accommodation Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",49318,538.31,K&I Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",49318,18.21,K&I Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",49318,2.88,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",49318,6.14,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Subsistence Overseas,Knowledge & Innovation Group - International Knowledge and Innovation,"Personal Expense, Name Witheld",49318,48.90,K&I Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",49319,4.69,BLG Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Taxi Services UK,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",49319,45.00,BLG Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Hotel & Accommodation Overseas,Business & Local Growth - Office for Life Sciences,"Personal Expense, Name Witheld",49320,72.90,BLG Devolved Admin-Hotel & Accommodation Overseas,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49321,2.00,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49321,4.40,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49321,12.70,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Subsistence UK,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49321,15.00,E&M Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Economics & Markets - Business Environment,"Personal Expense, Name Witheld",49322,8.05,E&M Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Mileage Allowance UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",49323,45.90,OME Devolved Admin-Mileage Allowance UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",49323,2.20,OME Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Other Travel,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",49323,11.74,OME Devolved Admin-Other Travel,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Subsistence UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",49323,10.00,OME Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Subsistence UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",49323,22.96,OME Devolved Admin-Subsistence UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Taxi Services UK,Office of Manpower Economics - Office of Manpower Economics,"Personal Expense, Name Witheld",49323,21.00,OME Devolved Admin-Taxi Services UK,,EMPLOYEE,,,
"Department for Business, Innovation and Skills","Department for Business, Innovation and Skills",07/07/2014,Subsistence Overseas,Economics & Markets - International Trade & Export Control,"Personal Expense, Name Witheld",49324,10.00,E&M Devolved Admin-Subsistence Overseas,,EMPLOYEE,,,
